기상청행정구역코드,특보구역코드,지점소,예보구역코드,지점번호,1단계,2단계,3단계,격자 X,격자 Y,경도(시),위도(시),경도(초/100),위도(초/100)
11B10101,L1100000,108,11B10101,109,서울특별시,성동구,옥수동,60,126,127,37,127.01,37.54
11B10101,L1100000,108,11B10101,109,서울특별시,성동구,성수1가제1동,61,126,127,37,127.05,37.54
11B10101,L1100000,108,11B10101,109,서울특별시,성동구,성수1가제2동,61,126,127,37,127.05,37.54
11B10101,L1100000,108,11B10101,109,서울특별시,성동구,성수2가제1동,61,126,127,37,127.06,37.54
11B10101,L1100000,108,11B10101,109,서울특별시,성동구,성수2가제3동,61,126,127,37,127.06,37.55
11B10101,L1100000,108,11B10101,109,서울특별시,성동구,송정동,61,126,127,37,127.07,37.55
11B10101,L1100000,108,11B10101,109,서울특별시,성동구,용답동,61,127,127,37,127.06,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,,62,126,127,37,127.08,37.54
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,화양동,61,126,127,37,127.07,37.54
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,군자동,62,126,127,37,127.08,37.55
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,중곡제1동,62,127,127,37,127.08,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,중곡제2동,62,127,127,37,127.08,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,중곡제3동,62,127,127,37,127.08,37.57
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,중곡제4동,62,127,127,37,127.09,37.56
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,능동,62,126,127,37,127.08,37.55
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,광장동,62,126,127,37,127.11,37.54
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,자양제1동,62,126,127,37,127.08,37.53
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,자양제2동,62,126,127,37,127.09,37.53
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,자양제3동,61,126,127,37,127.08,37.53
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,자양제4동,61,126,127,37,127.07,37.54
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,구의제1동,62,126,127,37,127.09,37.54
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,구의제2동,62,126,127,37,127.09,37.54
11B10101,L1100000,108,11B10101,109,서울특별시,광진구,구의제3동,62,126,127,37,127.1,37.54
11B10101,L1100000,108,11B10101,109,서울특별시,동대문구,,61,127,127,37,127.04,37.57
11B10101,L1100000,108,11B10101,109,서울특별시,동대문구,용신동,61,127,127,37,127.04,37.58
11B10101,L1100000,108,11B10101,109,서울특별시,동대문구,제기동,61,127,127,37,127.04,37.58
11B10101,L1100000,108,11B10101,109,서울특별시,동대문구,전농제1동,61,127,127,37,127.05,37.58
11B10101,L1100000,108,11B10101,109,서울특별시,동대문구,전농제2동,61,127,127,37,127.05,37.58
11B10101,L1100000,108,11B10101,109,서울특별시,동대문구,답십리제1동,61,127,127,37,127.05,37.57
